size,total_net_assets,net_annual_expenses,morningstar_rating,inception_date,portfolio_bonds,sectors_basic_materials,sectors_consumer_cyclical,sectors_financial_services,sectors_real_estate,sectors_consumer_defensive,sectors_healthcare,sectors_utilities,sectors_communication_services,sectors_energy,sectors_industrials,sectors_technology,price_earning,returns_2017,returns_2016,alpha,beta
Others,1540000000,0.74,3,2/12/1976,93.98,0,0,0,0,0,0,0,0,0,0,0,0,4.46,-0.21,-0.42,0.93
Large,15630000,2.7,0,17/12/2015,11.91,1.72,9.23,26.75,1.61,2.89,10.53,0.73,1.08,2.31,15.51,27.64,17.69,10.65,0,0,0
Large,15630000,1.7,0,17/12/2015,11.91,1.72,9.23,26.75,1.61,2.89,10.53,0.73,1.08,2.31,15.51,27.64,17.69,11.38,0,0,0
Small,27280000,1.54,3,26/12/2010,0,4.61,10.3,8.97,0,3.65,32.52,0,3.92,4.18,11.16,20.69,20.03,14.46,11.34,-0.74,1.07
Large,3380000000,0.34,5,31/01/2010,9.43,4.65,13.35,15.76,1.19,8.18,13.43,2.33,3.22,7.54,10.28,20.07,16.57,22.19,7.99,0.74,1.42
Large,833110000,0.36,5,26/03/2015,9.36,4.65,13.35,15.76,1.19,8.18,13.43,2.32,3.22,7.54,10.28,20.08,16.58,22.2,8,0.71,1.42
Large,47780000,1.56,1,31/08/2011,16.55,14.12,8.84,12.43,0.11,1.65,12.98,0.04,0.13,7.46,20.19,22.03,18.45,11.84,4.91,-0.16,0.56
Large,11150000,1.33,2,15/11/2009,0,11.14,9.96,27.1,8.64,6.55,3.02,0,4.18,0.15,8.66,20.6,15.26,37.82,7.69,2.42,1.11
Large,11150000,1.26,2,15/11/2009,0,11.14,9.96,27.1,8.64,6.55,3.02,0,4.18,0.15,8.66,20.6,15.26,38.03,7.58,2.44,1.11
Large,16110000,1.18,2,8/3/2015,0.09,6.57,13.54,16.79,0.71,6.96,12.93,1.63,2.81,8.27,11.26,18.53,13.92,-2.91,4,-3.66,0.15
Large,16110000,1.93,1,8/3/2015,0.09,6.57,13.54,16.79,0.71,6.96,12.93,1.63,2.81,8.27,11.26,18.53,13.92,-3.79,3.31,-4.42,0.14
Large,64970000,1.33,3,19/09/2013,0,6.9,11.79,20.13,4.25,8.7,9.85,3.54,3.4,5.73,11.53,14.16,14.64,17.01,4.07,-1.56,1.01
Large,16110000,0.94,2,8/3/2015,0.09,6.57,13.54,16.79,0.71,6.96,12.93,1.63,2.81,8.27,11.26,18.53,13.92,-2.78,4.26,-3.45,0.15
Medium,190000000,1.06,5,29/06/1993,0,4.03,9.67,26.78,6.57,2.73,6.89,2.3,1.67,5.27,19.49,14.6,16.39,18.52,28.16,3.12,1.01
Small,677850000,1.16,3,30/06/1996,0,5.9,10.49,26.45,1.97,4.82,8.02,1.78,0,6.63,16.21,17.74,18.42,20.88,25.21,3.72,0.92
Small,7270000000,0.8,4,27/02/2017,0,5.8,14.87,26.12,3.53,3.23,3.71,2.02,0.26,7.07,19.5,13.87,14.16,0,0,-0.41,0.97
Small,7270000000,1.3,3,30/04/2003,0,5.8,14.87,26.12,3.53,3.23,3.71,2.02,0.26,7.07,19.5,13.87,14.16,8.17,26.13,-0.91,0.97
Medium,93670000,0.68,3,1/5/2011,97.77,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0.84,-0.14,0.24
Small,112590000,1.32,3,1/1/2013,0,12.71,19.15,14.1,7.47,4.84,5.84,5.42,3.24,1.89,14.63,10.72,11.08,19.05,16.58,-0.99,0.97
Small,112590000,1,3,18/06/2015,0,12.71,19.15,14.1,7.47,4.84,5.84,5.42,3.24,1.89,14.63,10.72,11.08,19.45,16.97,-0.67,0.97
Small,36270000,2.02,1,26/12/2010,0,3.82,11.01,9.26,0,2.22,32.42,0,2.71,3.77,12.99,21.81,21.26,11.02,8.34,-2.2,0.98
Others,10940000,0,0,25/12/2017,93.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large,1050000000,0.91,3,28/10/1999,0,2.73,6.95,28.26,0,2.09,14.73,3.02,5.3,9.82,10.85,16.25,14.14,17.23,17.08,-3.34,1.15
Large,10880000,1.15,0,15/12/2015,0,0.96,16.79,19.83,18.64,1.02,1.68,3.36,3.78,1.07,17,15.86,9.04,38.26,0,0,0
Large,59050000,1.26,4,3/2/2014,4.35,2.94,3.57,0,0,0,0,4.4,0,83.8,4.65,0.65,19.58,-1.89,23.49,-5.28,0.9
Medium,2860000,1.06,0,29/12/2016,0,4.75,15.87,17.22,7.62,6.05,8.43,4.18,0,4.83,16.68,14.38,16.24,0,0,0,0
Medium,118130000,0.78,5,31/05/1994,100,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0.86,0.41,0.9
Medium,118130000,1.53,3,31/05/1994,100,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0.11,-0.34,0.9
Medium,118130000,1.53,3,31/05/1994,100,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0.1,-0.34,0.9
Large,136370000,1.51,3,30/08/2011,23.7,10.68,7.49,27.55,4.46,4.75,0.35,1.87,1.5,9.66,11.73,19.96,8.95,20.36,11.68,0.98,0.71
Large,1.28E+11,0.57,5,24/07/1975,41.16,4.93,11.13,16.49,3.89,10.03,11.54,0.58,3.64,10.4,5.62,21.74,16.98,15.47,8.61,1.66,1.01
Large,75150000,0.28,2,28/12/2008,24.68,5.65,11.43,16.64,3.85,7.94,12.68,3.47,3.9,5.06,11.56,17.81,13.29,18.18,7.87,0.07,1.05
Medium,3170000000,1.12,3,28/03/2001,0,2.34,15.73,22.81,5.73,3.78,4.33,4.14,0,10,19.45,11.68,14.49,12.71,24.38,-1.12,1
Medium,3170000000,1.25,3,28/03/2001,0,2.34,15.73,22.81,5.73,3.78,4.33,4.14,0,10,19.45,11.68,14.49,12.56,24.29,-1.25,1
Large,1020000000,1.12,3,28/05/2012,0,2.07,7.85,15.3,2.94,14.22,6.49,3.1,2.77,4.34,20.12,20.79,16.12,14.05,10.61,-3.37,0.87
Large,323000,1.73,3,31/08/2010,31.92,2.98,11.06,27.34,0,4.73,10.5,1.31,3.83,17.99,10.09,10.18,12.66,11.35,11.12,-2.01,1.12
Large,136370000,2.26,3,30/08/2011,23.7,10.68,7.49,27.55,4.46,4.75,0.35,1.87,1.5,9.66,11.73,19.96,8.95,19.36,10.96,0.25,0.71
Large,1020000000,0.74,3,28/05/2012,0,2.07,7.85,15.3,2.94,14.22,6.49,3.1,2.77,4.34,20.12,20.79,16.12,14.48,11.01,-3,0.87
Medium,3170000000,1.87,3,28/03/2001,0,2.34,15.73,22.81,5.73,3.78,4.33,4.14,0,10,19.45,11.68,14.49,11.85,23.4,-1.9,1
Large,1020000000,1.05,3,28/05/2012,0,2.07,7.85,15.3,2.94,14.22,6.49,3.1,2.77,4.34,20.12,20.79,16.12,14.07,10.68,-3.33,0.87
Large,1020000000,0.81,3,28/05/2012,0,2.07,7.85,15.3,2.94,14.22,6.49,3.1,2.77,4.34,20.12,20.79,16.12,14.38,10.95,-3.08,0.87
Large,246110000,0.56,3,3/3/2004,47.79,4.09,10.17,19.81,2.69,8.62,12.81,2.7,4.76,6.2,10.76,17.4,14.83,7.95,4.48,-0.75,0.54
Large,1020000000,1.86,2,28/05/2012,0,2.07,7.85,15.3,2.94,14.22,6.49,3.1,2.77,4.34,20.12,20.79,16.12,13.18,9.79,-4.11,0.87
Others,7620000,0.62,4,16/03/1986,97.31,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0.01,-0.61,0.7
Large,8030000000,1.1,4,10/5/2007,0,8.85,11.84,25.51,6.44,13.7,0.86,0,3.31,2.78,4.38,22.35,14.83,30.24,11.96,-0.41,1.06
Large,3180000000,0.8,3,2/8/2009,0,9.42,9.3,19.99,1.89,8,11.49,2.37,7.09,10.23,14.03,6.2,14.36,24.77,0.19,-1.2,0.92
Large,323000,0.99,3,16/05/2010,31.92,2.98,11.06,27.34,0,4.73,10.5,1.31,3.83,17.99,10.09,10.18,12.66,12.2,11.96,-1.25,1.12
Large,899090000,0.71,4,9/4/2017,41.4,5.36,14.02,15.54,1.37,4.51,16.89,0.33,1.05,5.01,9.36,26.57,16.51,0,0,0.03,1.01
Small,5840000000,0.75,4,18/03/2001,98.71,0,0,0,0,0,0,0,0,0,0,0,0,8.43,1.48,1.56,1.04
Small,148410000,0.83,3,29/09/1997,97.96,0,0,0,0,0,0,0,0,100,0,0,0,5.96,13.98,2.22,0.48
Large,731030000,0.37,3,9/4/2017,98.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.72,0.9
Small,595070000,0.6,3,30/03/1998,99.98,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0.46,1.67,1.15
Large,255050000,1.45,2,28/03/2001,0,8.97,15.84,18.04,0,10.72,4.8,0.92,8.69,10.22,8.82,12.97,13.22,24.83,-0.97,-1.31,0.9
Large,255050000,2.26,2,28/03/2001,0,8.97,15.84,18.04,0,10.72,4.8,0.92,8.69,10.22,8.82,12.97,13.22,23.82,-1.73,-2.11,0.9
Large,255050000,2.22,2,28/03/2001,0,8.97,15.84,18.04,0,10.72,4.8,0.92,8.69,10.22,8.82,12.97,13.22,23.92,-1.75,-2.04,0.9
Large,136370000,1.28,3,30/08/2011,23.7,10.68,7.49,27.55,4.46,4.75,0.35,1.87,1.5,9.66,11.73,19.96,8.95,20.7,11.94,1.19,0.71
Others,48490000,0,0,11/9/2017,91.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large,899090000,0.71,4,30/04/2000,41.4,5.36,14.02,15.54,1.37,4.51,16.89,0.33,1.05,5.01,9.36,26.57,16.51,14.27,7.18,0.15,1
Others,5350000,0.88,2,3/1/2010,90.4,0,0,0,0,0,0,0,0,0,0,0,0,14.14,1.47,1.75,1.17
Large,255050000,1.21,2,28/03/2001,0,8.97,15.84,18.04,0,10.72,4.8,0.92,8.69,10.22,8.82,12.97,13.22,25.2,-0.7,-1.06,0.91
Medium,3730000000,0.79,2,28/09/2017,0,6.56,33.48,6,0,7.23,7.41,0,0,3.94,14.85,20.52,14.62,0,0,-7.88,1.26
Large,136370000,1.53,3,30/08/2011,23.7,10.68,7.49,27.55,4.46,4.75,0.35,1.87,1.5,9.66,11.73,19.96,8.95,20.32,11.8,0.98,0.71
Large,742590000,0.24,2,2/10/2008,32.66,3.92,13.54,17.18,5.22,10.67,10.68,5.01,3.32,6.6,10.81,13.04,15.58,12.85,8.48,-1.23,1.01
Large,75150000,0.33,2,28/12/2008,24.68,5.65,11.43,16.64,3.85,7.94,12.68,3.47,3.9,5.06,11.56,17.81,13.29,18.13,7.84,0.01,1.05
Large,75150000,1.08,1,28/12/2008,24.68,5.65,11.43,16.64,3.85,7.94,12.68,3.47,3.9,5.06,11.56,17.81,13.29,17.22,6.96,-0.76,1.05
Large,75150000,0,3,28/12/2008,24.68,5.65,11.43,16.64,3.85,7.94,12.68,3.47,3.9,5.06,11.56,17.81,13.29,18.59,8.19,0.41,1.05
Large,75150000,0.03,2,28/12/2008,24.68,5.65,11.43,16.64,3.85,7.94,12.68,3.47,3.9,5.06,11.56,17.81,13.29,18.49,8.13,0.34,1.05
Large,75150000,0.68,2,28/12/2008,24.68,5.65,11.43,16.64,3.85,7.94,12.68,3.47,3.9,5.06,11.56,17.81,13.29,17.7,7.42,-0.31,1.05
Large,323000,1.08,3,30/05/2005,31.92,2.98,11.06,27.34,0,4.73,10.5,1.31,3.83,17.99,10.09,10.18,12.66,11.96,11.85,-1.39,1.12
Large,6760000000,0.67,3,2/8/2009,0,3.25,9.28,28.17,0.07,6.26,11.96,1.4,3.58,15.62,11.22,9.19,13.1,17.02,15.91,-4.72,1.09
Medium,841110000,1.27,3,16/05/2010,0,5.81,14.32,26,5.27,3.36,8.14,6.26,0,8.5,16.23,6.11,13.71,17.29,17.23,-4.82,1.09
Medium,3730000000,0.87,2,5/7/2004,0,6.56,33.48,6,0,7.23,7.41,0,0,3.94,14.85,20.52,14.62,11.8,24.36,-7.69,1.26
Medium,596780000,1.01,4,25/01/2010,66.95,0,0,100,0,0,0,0,0,0,0,0,0,2.69,6.32,0.58,0.74
Medium,596780000,1.76,2,25/01/2010,66.95,0,0,100,0,0,0,0,0,0,0,0,0,1.9,5.55,-0.16,0.73
Medium,38450000000,0.6,3,27/05/1974,92.53,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.74,-0.18,0.98
Medium,38450000000,0.35,3,3/8/2008,92.53,0,0,0,0,0,0,0,0,0,0,0,0,3.47,3,0.07,0.98
Medium,75330000,1.3,2,19/07/2009,0,13.44,17.63,1.75,2.94,19.36,17.12,0,1.05,0,20.62,6.09,23.8,32.18,5.33,4.16,0.84
Medium,596780000,1.01,5,25/01/2010,66.95,0,0,100,0,0,0,0,0,0,0,0,0,2.66,6.32,0.62,0.72
Medium,596780000,0.86,5,25/01/2010,66.95,0,0,100,0,0,0,0,0,0,0,0,0,2.89,6.44,0.76,0.75
Medium,596780000,1.29,4,25/01/2010,66.95,0,0,100,0,0,0,0,0,0,0,0,0,2.42,6.13,0.39,0.72
Medium,596780000,0.76,5,25/01/2010,66.95,0,0,100,0,0,0,0,0,0,0,0,0,2.9,6.57,0.85,0.73
Medium,596780000,0.77,5,25/01/2010,66.95,0,0,100,0,0,0,0,0,0,0,0,0,2.91,6.55,0.86,0.73
Medium,596780000,0.76,5,10/12/2014,66.95,0,0,100,0,0,0,0,0,0,0,0,0,2.88,6.65,0.84,0.73
Large,212640000,1.01,2,1/9/2003,38.25,4.58,12.84,16.1,9.23,5.32,11.47,1.31,3.5,12.47,8.02,15.17,16.82,8.32,3.65,-1.03,0.58
Large,212640000,1.76,1,1/9/2003,38.25,4.58,12.84,16.1,9.23,5.32,11.47,1.31,3.5,12.47,8.02,15.17,16.82,7.42,2.78,-1.82,0.58
Large,212640000,1.75,1,1/9/2003,38.25,4.58,12.84,16.1,9.23,5.32,11.47,1.31,3.5,12.47,8.02,15.17,16.82,7.51,2.81,-1.82,0.59
Large,6860000000,1.4,5,2/11/2003,0,2.02,16.82,10.71,0,12.21,19.93,0,0.66,0,5.93,31.71,22.54,30.88,2.41,3.21,0.93
Large,212640000,0.75,2,1/9/2003,38.25,4.58,12.84,16.1,9.23,5.32,11.47,1.31,3.5,12.47,8.02,15.17,16.82,8.55,3.88,-0.78,0.58
Medium,37440000,1.54,2,30/06/1999,64.31,0,0,100,0,0,0,0,0,0,0,0,0,3.11,3.24,-0.34,0.9
Medium,37440000,1.55,2,30/06/1999,64.31,0,0,100,0,0,0,0,0,0,0,0,0,3.11,3.16,-0.37,0.92
Medium,37440000,0.54,4,28/02/2005,64.31,0,0,100,0,0,0,0,0,0,0,0,0,4.13,4.28,0.67,0.9
Medium,37440000,0.79,4,28/02/2005,64.31,0,0,100,0,0,0,0,0,0,0,0,0,3.88,3.92,0.41,0.92
Medium,37440000,1.04,3,2/11/2003,64.31,0,0,100,0,0,0,0,0,0,0,0,0,3.62,3.67,0.13,0.92
Medium,37440000,0.79,4,30/06/1999,64.31,0,0,100,0,0,0,0,0,0,0,0,0,3.88,3.92,0.41,0.91
Medium,37440000,0.54,4,9/10/2000,64.31,0,0,100,0,0,0,0,0,0,0,0,0,4.14,4.27,0.63,0.91
Medium,37440000,0.54,4,24/04/2014,64.31,0,0,100,0,0,0,0,0,0,0,0,0,4.13,4.26,0.66,0.91
Large,4720000000,1.97,2,1/6/2009,40.73,0,0,0,0,0,0,0,0,0,0,0,13.57,8.83,10.24,-0.19,0.66
Large,136370000,1.72,3,30/08/2011,23.7,10.68,7.49,27.55,4.46,4.75,0.35,1.87,1.5,9.66,11.73,19.96,8.95,19.93,11.59,0.73,0.71
Medium,6970000,2.92,4,25/02/2010,1.75,16.06,25.35,2.5,0,16.89,10.25,0,0,2.64,18.44,7.87,12.48,5.33,7.12,-0.89,0.73
Large,4720000000,0.92,3,1/6/2009,40.73,0,0,0,0,0,0,0,0,0,0,0,13.57,10.04,11.32,0.88,0.66
Others,4540000,0,0,10/10/2017,65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
